"pid";"progress";"startdate";"enddate";"condition";"clicks_p1";"clicks_p2";"clicks_p3";"success";"open";"age";"gender";"language";"neopir_1";"neopir_2";"neopir_3";"neopir_4";"neopir_5";"neopir_6";"neopir_7";"neopir_8";"neopir_9";"neopir_10";"neopir_11";"neopir_12";"neopir_13";"neopir_14";"neopir_15";"neopir_16";"neopir_17";"neopir_18";"neopir_19";"neopir_20"
1;100;2020-08-26 11:04:35;2020-08-26 11:04:47;"music";6;1;1;0;"happened happened his man Mr. back back depicts by forces who away he his";27;"Mann";"Deutsch";3;4;4;3;2;3;1;7;4;4;4;7;7;6;4;4;3;6;3;3
2;100;2020-08-26 11:21:20;2020-08-26 11:21:57;"music";4;5;4;0;"he of an tricks back Harry Mr. man he his the";22;"Frau";"English";2;7;3;3;4;1;5;4;3;3;4;4;3;1;2;4;1;5;3;1
3;100;2020-08-26 10:55:25;2020-08-26 10:55:45;"music";3;4;0;1;"customer forced who back what Brownstone his realizes happened Mr. without by back charter Johnson activity";25;"Frau";"Italienisch";4;2;1;6;2;4;5;2;1;7;7;5;7;2;2;5;2;4;6;2
4;100;2020-08-26 11:47:34;2020-08-26 11:47:55;"music";7;5;2;1;"mainland the his beyond who into the the is flees customer I who she flees activity economic to good";26;"Frau";NA;7;4;6;1;1;3;7;5;2;2;4;3;4;5;4;7;2;1;4;6
5;100;2020-08-26 11:35:38;2020-08-26 11:36:16;"silence";10;2;4;0;"any an who Mr. his has charter fishing by then by airplane depicts has slipping";22;"Mann";"English";4;3;7;7;2;2;6;4;7;7;2;5;2;4;3;6;4;5;2;1
6;100;2020-08-26 11:49:14;2020-08-26 11:49:30;"silence";2;2;1;1;"control money depicts who control him essentially beyond tricks flees him";26;"Mann";"Italienisch";3;3;3;4;1;3;2;4;6;7;1;5;6;3;6;2;4;4;4;3
7;100;2020-08-26 11:41:54;2020-08-26 11:42:28;"silence";1;2;0;1;"what back fishing tricks has Mark Brownstone flees paying him airplane without";20;"Mann";"Französisch";1;7;3;1;7;5;6;4;2;7;4;3;5;7;6;5;2;5;3;4
8;100;2020-08-26 11:12:43;2020-08-26 11:12:47;"silence";3;3;0;1;"money before control he Brownstone I Brownstone customer away he";19;"Mann";"Deutsch";3;3;6;5;3;2;1;3;7;4;5;2;6;3;5;2;4;4;2;7
9;100;2020-08-26 11:31:36;2020-08-26 11:31:43;"music";3;2;4;0;"an I his him owes then flees forces to control away is he";20;"Frau";"Deutsch";7;6;5;2;4;7;3;3;6;4;6;1;5;1;2;4;3;1;5;6
10;100;2020-08-26 10:41:30;2020-08-26 10:41:30;"silence";1;2;0;1;"flees blackmarket novel the flees paying Johnson flees by airplane by flees flees good happened what flees the the good";25;"Mann";"Französisch";7;5;1;7;2;5;4;4;4;5;4;7;6;6;3;1;6;7;4;3
11;100;2020-08-26 11:39:22;2020-08-26 11:39:48;"music";4;2;3;0;"I by of his owes who she I is Mr. his away initially activity Harry money Brownstone who";24;"Mann";"Italienisch";1;1;5;7;1;3;2;7;5;5;5;5;2;2;7;3;6;5;5;4
12;96;2020-08-26 11:50:33;2020-08-26 11:50:55;"silence";NA;4;3;1;NA;23;NA;NA;3;7;7;4;4;7;7;5;3;5;6;4;2;3;2;3;4;7;3;3
